"longitude","latitude","individual","species","datatype","vol_no","phase"
-16.3461799621582,16.7454986572266,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3459529876709,16.7454414367676,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3407363891602,16.7470016479492,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3414096832275,16.7473621368408,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3414440155029,16.7473258972168,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3583393096924,16.746057510376,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3552742004395,16.7500152587891,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3492698669434,16.7463989257812,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3374214172363,16.7362804412842,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3414707183838,16.7308406829834,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3418292999268,16.7306060791016,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3433933258057,16.728515625,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3439311981201,16.72776222229,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3466854095459,16.7256813049316,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3596782684326,16.7416725158691,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3597412109375,16.7413539886475,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3585624694824,16.743989944458,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3581600189209,16.7436141967773,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3587532043457,16.7434844970703,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
